Landing Page,Non Landing Pages,Page Size in KB
Amazon.com,https://www.amazon.com/gp/help/customer/display.html?nodeId=508510&ref_=nav_cs_customerservice,655
Amazon.com,https://www.amazon.com/Coupons/b/?ie=UTF8&node=2231352011&ref_=sv_subnav_goldbox_1,16643
Amazon.com,https://www.amazon.com/b/?ie=UTF8&node=23572434011&ref_=tt_ttgo_hp,2419
Banglatribune.com,https://www.banglatribune.com/business,2561
Banglatribune.com,https://www.banglatribune.com/country,2636
Banglatribune.com,https://www.banglatribune.com/sport,3191
Banglatribune.com,https://www.banglatribune.com/national,2207
Banglatribune.com,https://www.banglatribune.com/politics,2553
Bdnews24.com,https://bdnews24.com/business/,2105
Bdnews24.com,https://opinion.bdnews24.com/,2655
Bdnews24.com,https://opinion.bdnews24.com/category/features-analysis/,1905
Bdnews24.com,https://opinion.bdnews24.com/category/1971/,1485
Bdnews24.com,https://bdnews24.com/sport/,2221
Bd-pratidin.com,https://www.bd-pratidin.com/national,1239
Bd-pratidin.com,https://www.bd-pratidin.com/international-news,1128
Bd-pratidin.com,https://www.bd-pratidin.com/sports,1133
Bd-pratidin.com,https://www.bd-pratidin.com/online/todaynews,1058
Bd-pratidin.com,https://www.bd-pratidin.com/health-tips,1200
Bd-pratidin.com,https://www.bd-pratidin.com/health-tips/2022/03/24/752887,1919
Daraz.com.bd,https://www.daraz.com.bd/smartphones/?spm=a2a0e.home.cate_1.1.735212f7sm67Iv,5090
Daraz.com.bd,https://www.daraz.com.bd/wow/gcp/daraz/channel/bd/help-pages/sell-on-daraz-bangladesh?spm=a2a0e.searchlistcategory.header.d2.19b67d09Td6VDj,1734
Daraz.com.bd,https://www.daraz.com.bd/daraz-mall/?spm=a2a0e.home.feature_nav.1.735212f7xoHtch&scm=1003.4.icms-zebra-100031732-2893410.OTHER_6051861615_7582740,1468
Daraz.com.bd,https://www.daraz.com.bd/laptops/?spm=a2a0e.home.cate_1.4.530112f7O0tNPP,4041
Daraz.com.bd,https://www.daraz.com.bd/televisions/?spm=a2a0e.home.cate_3.1.573712f7CQrTgx,8816
Dhakapost.com,https://www.dhakapost.com/politics,1859
Dhakapost.com,https://www.dhakapost.com/economy,1870
Dhakapost.com,https://www.dhakapost.com/international,1866
Dhakapost.com,https://www.dhakapost.com/health,1851
Dhakapost.com,https://www.dhakapost.com/international/106222,3466
Google.com,https://fiber.google.com/,6263
Google.com,http://material.google.com/,3642
Google.com,http://sketchup.google.com/,3262
Google.com,https://www.google.com/contact/,296
https://www.bbc.com/,https://www.bbc.com/news,2272
https://www.bbc.com/,https://www.bbc.com/reel,2807
https://www.bbc.com/,https://www.bbc.com/news/live/world-europe-60856533,2968
https://www.bbc.com/,https://www.bbc.com/worklife,6755
https://www.bbc.com/,https://www.bbc.com/sport,1591
https://www.yahoo.com/,https://news.yahoo.com/coronavirus,1084
https://www.yahoo.com/,https://www.yahoo.com/entertainment/,656
https://www.yahoo.com/,https://sports.yahoo.com/,1865
https://www.yahoo.com/,https://finance.yahoo.com/,2191
Instagram.com,https://www.instagram.com/virat.kohli/?hl=en,1808
Jagonews24.com,https://www.jagonews24.com/country,1340
Jagonews24.com,https://www.jagonews24.com/podcasts,1472
Jagonews24.com,https://www.jagonews24.com/international,1502
Jagonews24.com,https://www.jagonews24.com/video,1511
Jagonews24.com,https://www.jagonews24.com/video/sports/13134,2353
Jugantor.com,https://www.jugantor.com/covid-19,11600
Jugantor.com,https://www.jugantor.com/national,11412
Jugantor.com,https://www.jugantor.com/politics,11639
Jugantor.com,https://www.jugantor.com/economics,13554
Jugantor.com,https://www.jugantor.com/country-news,11439
Jugantor.com,https://www.jugantor.com/sports,11191
Kalerkantho.com,https://www.kalerkantho.com/online/world/,885
Kalerkantho.com,https://www.kalerkantho.com/online/entertainment/,880
Kalerkantho.com,https://www.kalerkantho.com/online/sport/,1036
Kalerkantho.com,http://ekalerkantho.com/,1235
Linkedin.com,https://premium.linkedin.com/,1252
Linkedin.com,https://www.linkedin.com/learning/,2137
Newsbangla24.com,https://www.newsbangla24.com/news,2583
Newsbangla24.com,https://www.newsbangla24.com/country-wide,2455
Newsbangla24.com,https://www.newsbangla24.com/sports,2770
Newsbangla24.com,https://www.newsbangla24.com/column,3147
Newsbangla24.com,https://www.newsbangla24.com/youth,2829
Prothomalo.com,https://www.prothomalo.com/collection/latest,2041
Prothomalo.com,https://www.prothomalo.com/politics,2376
Prothomalo.com,https://www.prothomalo.com/bangladesh,2421
Prothomalo.com,https://www.prothomalo.com/world,2274
Prothomalo.com,https://www.prothomalo.com/business,2245
Rtvonline.com,https://www.rtvonline.com/politics,1301
Rtvonline.com,https://www.rtvonline.com/bangladesh/law-order,1352
Rtvonline.com,https://www.rtvonline.com/economy,1457
