Landing Page,Non Landing Pages,Page Size in KB
Aliexpress.com,https://www.aliexpress.com/premium/category/509.html?CatId=509&spm=a2g0o.best.103.1.60ec2c25gDteBn,1211
Aliexpress.com,https://www.aliexpress.com/premium/category/509.html?trafficChannel=ppc&catName=Cellphones+%26+Telecommunications&CatId=509&ltype=premium&SortType=default&brandValueIds=3426&isrefine=y&page=1,1211
Aliexpress.com,https://www.aliexpress.com/premium/category/100003109.html?CatId=100003109,1211
Aliexpress.com,https://www.aliexpress.com/premium/category/66.html?CatId=66,1211
Amazon.com,https://www.amazon.com/b?node=10158976011,3373
Amazon.com,https://www.amazon.com/gift-cards/b/?ie=UTF8&node=2238192011&ref_=nav_cs_gc,1282
Amazon.com,https://www.amazon.com/registries?ref_=nav_cs_registry,738
Betika.com,https://www.betika.com/en-ke/live,3559
Betika.com,https://www.betika.com/en-ke/offers,3831
Betika.com,https://www.betika.com/en-ke/betika-super-league,5862
Betika.com,https://www.betika.com/en-ke/jackpots/,3535
Betika.com,https://www.betika.com/en-ke/live/soccer,3523
Biomedcentral.com,https://www.biomedcentral.com/journals,668
Biomedcentral.com,https://www.biomedcentral.com/journals#Criminology-and-Criminal-Justice,668
Biomedcentral.com,https://www.biomedcentral.com/getpublished,658
Biomedcentral.com,https://www.biomedcentral.com/about,659
Ethiojobs.net,https://ethiojobs.net/jobs-in-ethiopia/,294
Ethiojobs.net,https://ethiojobs.net/courses/,412
Ethiojobs.net,https://ethiojobs.net/courses/browse-by-awarding-body/Microsoft/,653
Ethiojobs.net,https://ethiojobs.net/display-job/376581/Project-Manager.html,1217
Ethiopianreporterjobs.com,https://www.ethiopianreporterjobs.com/jobs-in-ethiopia/,2010
Ethiopianreporterjobs.com,https://www.ethiopianreporterjobs.com/companies/,1681
Ethiopianreporterjobs.com,https://www.ethiopianreporterjobs.com/companies/abay-insurance-s-c/,1730
Ethiopianreporterjobs.com,https://www.ethiopianreporterjobs.com/career-tips/,2152
Ethiopianreporterjobs.com,https://www.ethiopianreporterjobs.com/banking-interview-questions-answers/,1829
Ethiopianreporterjobs.com,https://www.ethiopianreporterjobs.com/member/,1571
Fanabc.com,https://www.fanabc.com/category/coronavirus/,1394
Fanabc.com,https://www.fanabc.com/english/business/,1470
